id,Texture Name,Link,Average Hex Color Value,Average RGB Color Value
1,"a0n_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa0n_txt.png","#ef6c0c","rgb(239,108,12)"
2,"a1n_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa1n_txt.png","#f37413","rgb(243,116,19)"
3,"a2n_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa2n_txt.png","#f67211","rgb(246,114,17)"
4,"a3n_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa3n_txt.png","#f56e0c","rgb(245,110,12)"
5,"a4n_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa4n_txt.png","#f36f14","rgb(243,111,20)"
6,"a5n_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa5n_txt.png","#ec7418","rgb(236,116,24)"
7,"a6n_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa6n_txt.png","#f1750e","rgb(241,117,14)"
8,"a7n_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa7n_txt.png","#f46d17","rgb(244,109,23)"
9,"a8n_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa8n_txt.png","#f46812","rgb(244,104,18)"
10,"a9n_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa9n_txt.png","#f4630e","rgb(244,99,14)"
11,"a_ami01_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_ami01_txt.png","#473637","rgb(71,54,55)"
